finding_id,evaluator,feature,observation,heuristics,severity,evidence_status
H1,E1,Coach,"Live guidance is unavailable, but the interface does not show that Coach must first be activated.","1;6",4,RECONSTRUCTED
H1,E2,Coach,"The prerequisite for receiving live Coach guidance is not visible near the requested action.","1;6",3,RECONSTRUCTED
H1,E3,Coach,"The user cannot determine why live guidance is not being produced or what must be enabled.",1,4,RECONSTRUCTED
H2,E1,Bot,"The Bot switch and Stop button appear to control overlapping functions.",2,4,RECONSTRUCTED
H2,E2,Bot,"After using the switch or Stop button, the interface does not provide sufficiently clear status feedback.","1;2",4,RECONSTRUCTED
H2,E3,Bot,"It is unclear whether Stop ends the Bot process or disables the selected strategy mode.",2,3,RECONSTRUCTED
H3,E1,Coach,"Drive now and Plan and review are presented with insufficient visual distinction.","6;8",3,RECONSTRUCTED
H3,E2,Coach,"The two Coach modes are easy to confuse when moving between live and retrospective use.",6,2,RECONSTRUCTED
H3,E3,Coach,"The interface does not make the purpose of the two Coach views immediately recognisable.","6;8",3,RECONSTRUCTED
H4,E1,Commentary,"Queue is a technical term and its effect is not clear to an end user.",2,3,RECONSTRUCTED
H4,E2,Commentary,"The Commentary control uses implementation-oriented language instead of task-oriented language.",2,3,RECONSTRUCTED
H4,E3,Commentary,"Users may not understand what content is being queued or when it will be played.",2,2,RECONSTRUCTED
H5,E1,Error handling,"The interface exposes the HTTP 409 status code without a user-oriented explanation.",9,2,RECONSTRUCTED
H5,E2,Error handling,"The error message does not clearly explain the cause or the recovery action.",9,2,RECONSTRUCTED
H5,E3,Error handling,"The technical code is visible, although the failed operation can still be retried.","2;9",1,RECONSTRUCTED
H6,E1,Bot status,"The continuously scrolling process log makes the current operational state difficult to locate.","1;8",2,RECONSTRUCTED
H6,E2,Bot status,"Developer-oriented log output dominates the interface and there is no concise status such as Running.","1;8",3,RECONSTRUCTED
H6,E3,Bot status,"Users must inspect multiple log lines to infer whether the process is active.","1;6;8",2,RECONSTRUCTED
H7,E1,Cross-module toggles,"Toggle descriptions use inconsistent text lengths across modules.",4,1,RECONSTRUCTED
H7,E2,Cross-module toggles,"Similar toggle controls do not use a consistent labelling pattern.",4,1,RECONSTRUCTED
H7,E3,Cross-module toggles,"Uneven explanatory text creates a minor consistency and scanning problem.","4;8",2,RECONSTRUCTED
